Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
69,Mikal Bridges,28,NYK,SF,70,70,37.6,7.2,14.6,.497,2.1,5.9,.353,5.1,8.6,.596,.569,1.1,1.4,.790,0.9,2.3,3.3,3.6,1.0,0.5,1.6,1.4,17.7,,bridgmi01
70,Jaden Ivey,22,DET,SG,30,30,29.9,6.3,13.8,.460,2.1,5.1,.409,4.2,8.6,.490,.536,2.8,3.9,.733,1.3,2.8,4.1,4.0,0.9,0.4,3.0,2.2,17.6,,iveyja01
71,Shaedon Sharpe,21,POR,SG,64,44,30.7,6.6,14.7,.451,2.0,6.4,.310,4.7,8.3,.559,.518,2.4,3.0,.798,0.9,3.3,4.2,2.6,0.8,0.2,2.0,1.7,17.6,,sharpsh01
72,Bam Adebayo,27,MIA,C,69,69,34.5,6.8,13.9,.485,0.9,2.7,.317,5.9,11.2,.526,.516,3.1,4.1,.764,2.5,7.2,9.7,4.3,1.3,0.7,2.1,2.2,17.5,,adebaba01
73,Dejounte Murray,28,NOP,PG,31,31,32.6,6.3,15.9,.393,1.7,5.6,.299,4.6,10.3,.444,.445,3.3,4.0,.823,0.5,5.9,6.5,7.4,2.0,0.4,3.4,2.0,17.5,,murrade01
74,De'Andre Hunter,27,2TM,SF,55,8,27.5,5.6,11.8,.472,2.5,6.1,.415,3.1,5.7,.532,.578,3.7,4.3,.857,0.7,3.3,4.0,1.4,0.7,0.2,1.3,2.4,17.4,,huntede01
74,De'Andre Hunter,27,ATL,SF,37,4,28.8,6.1,13.3,.461,2.6,6.7,.393,3.5,6.6,.531,.560,4.1,4.8,.858,0.7,3.2,3.9,1.5,0.8,0.1,1.6,2.4,19.0,,huntede01
74,De'Andre Hunter,27,CLE,SF,18,4,24.8,4.4,8.8,.503,2.3,4.9,.477,2.1,3.9,.535,.635,2.9,3.4,.855,0.7,3.4,4.1,1.2,0.3,0.2,0.6,2.5,14.2,,huntede01
75,Jimmy Butler,35,2TM,SF,44,44,31.5,5.5,11.1,.493,0.5,1.8,.288,4.9,9.3,.533,.516,5.8,7.1,.824,2.3,3.4,5.6,5.5,1.2,0.4,1.4,1.0,17.3,,butleji01
75,Jimmy Butler,35,MIA,PF,25,25,30.6,5.7,10.5,.540,0.5,1.4,.361,5.2,9.1,.568,.565,5.2,6.4,.801,2.2,3.0,5.2,4.8,1.1,0.4,1.2,0.9,17.0,,butleji01
75,Jimmy Butler,35,GSW,SF,19,19,32.5,5.2,11.8,.438,0.5,2.3,.227,4.6,9.5,.489,.460,6.7,7.9,.848,2.3,3.8,6.1,6.5,1.3,0.3,1.6,1.2,17.6,,butleji01
76,Bradley Beal,31,PHO,SG,48,33,32.2,6.6,13.1,.505,1.9,4.9,.395,4.7,8.3,.569,.578,2.2,2.7,.813,0.7,2.7,3.4,3.6,1.0,0.5,1.9,2.6,17.3,,bealbr01
77,Immanuel Quickley,25,TOR,PG,28,28,28.5,5.6,13.3,.426,2.5,6.7,.372,3.1,6.5,.481,.520,3.5,4.1,.853,0.4,3.2,3.6,5.6,0.7,0.1,1.9,2.0,17.3,,quickim01
78,OG Anunoby,27,NYK,PF,64,64,36.6,6.2,13.3,.463,2.2,6.1,.366,3.9,7.2,.546,.547,2.3,2.8,.801,1.3,3.5,4.8,2.2,1.5,0.9,1.3,2.4,16.8,,anunoog01
79,Keyonte George,21,UTA,PG,57,32,31.3,5.4,13.5,.397,2.6,7.5,.350,2.7,6.0,.456,.494,3.4,4.3,.798,0.4,3.4,3.8,5.8,0.7,0.2,2.8,1.7,16.8,,georgke01
80,Derrick White,30,BOS,SG,67,67,33.9,5.6,12.8,.442,3.5,9.1,.386,2.1,3.7,.581,.579,1.8,2.2,.842,0.9,3.5,4.3,4.4,1.0,1.1,1.6,1.9,16.6,,whitede01
81,Ivica Zubac,27,LAC,C,69,69,32.7,7.2,11.7,.622,0.0,0.0,,7.2,11.7,.622,.622,1.9,2.9,.640,3.7,8.8,12.5,2.6,0.7,1.2,1.7,2.2,16.4,,zubaciv01
82,Jonathan Kuminga,22,GSW,PF,38,10,25.6,5.9,12.9,.454,1.1,3.4,.323,4.8,9.5,.501,.497,3.4,5.2,.658,1.3,3.4,4.7,2.3,0.9,0.5,1.6,1.9,16.3,,kuminjo01
83,Malik Beasley,28,DET,SG,72,15,27.6,5.6,12.9,.437,3.9,9.3,.422,1.7,3.6,.475,.588,1.0,1.6,.652,0.6,2.1,2.7,1.7,1.0,0.1,1.1,1.6,16.2,,beaslma01
84,Jordan Clarkson,32,UTA,SG,37,9,26.0,5.4,13.3,.408,2.3,6.3,.362,3.2,7.1,.448,.493,3.1,3.9,.797,0.7,2.5,3.2,3.7,0.8,0.2,2.3,1.4,16.2,,clarkjo01
85,Paul George,34,PHI,PF,41,41,32.5,6.0,13.9,.430,2.3,6.5,.358,3.6,7.4,.493,.514,1.9,2.4,.814,0.6,4.8,5.3,4.3,1.8,0.5,2.6,2.5,16.2,,georgpa01
86,Bennedict Mathurin,22,IND,SF,64,48,30.3,5.6,12.0,.469,1.5,4.0,.362,4.2,7.9,.524,.530,3.5,4.3,.832,1.2,4.2,5.4,1.9,0.6,0.4,1.9,2.3,16.2,,mathube01
87,Jalen Suggs,23,ORL,PG,35,35,28.6,5.6,13.7,.410,2.2,6.9,.314,3.5,6.8,.506,.489,2.8,3.1,.882,0.7,3.4,4.0,3.7,1.5,0.9,2.9,2.8,16.2,,suggsja01
88,Devin Vassell,24,SAS,SG,55,44,30.9,6.2,13.9,.442,2.3,6.5,.358,3.8,7.4,.516,.525,1.6,2.0,.798,0.6,3.4,3.9,2.9,1.3,0.6,1.3,1.7,16.2,,vassede01
89,Deni Avdija,24,POR,SF,66,48,29.5,5.2,11.0,.472,1.7,4.5,.366,3.5,6.5,.546,.547,3.9,5.0,.781,1.3,5.6,6.9,3.7,0.9,0.5,2.6,2.3,15.9,,avdijde01
90,Myles Turner,28,IND,C,62,62,30.7,5.5,11.5,.479,2.2,5.5,.394,3.3,6.0,.557,.573,2.5,3.2,.782,1.2,5.3,6.5,1.6,0.8,1.9,1.7,2.6,15.6,,turnemy01
91,Mark Williams,23,CHO,C,37,34,25.9,6.1,10.3,.597,0.0,0.0,.000,6.1,10.2,.599,.597,3.2,3.9,.801,3.1,6.9,10.0,2.5,0.7,1.3,1.4,2.4,15.4,,willima07
92,Jared McCain,20,PHI,SG,23,8,25.7,5.5,11.9,.460,2.2,5.8,.383,3.3,6.1,.532,.553,2.1,2.4,.875,0.6,1.9,2.4,2.6,0.7,0.0,1.6,1.6,15.3,,mccaija01
93,Chet Holmgren,22,OKC,C,24,24,27.0,5.4,10.7,.502,1.3,3.6,.368,4.0,7.1,.571,.564,3.1,4.3,.718,1.7,6.6,8.3,1.8,0.8,2.5,1.7,2.0,15.2,,holmgch01
94,Kelly Oubre Jr.,29,PHI,SF,60,57,34.6,5.8,12.4,.470,1.2,4.0,.293,4.6,8.3,.555,.518,2.3,3.1,.751,1.6,4.5,6.1,1.8,1.5,0.5,1.3,3.0,15.1,,oubreke01
95,Christian Braun,23,DEN,SG,70,68,33.4,5.8,10.2,.574,1.1,2.8,.389,4.8,7.4,.644,.627,2.3,2.8,.825,1.2,3.8,5.0,2.4,1.1,0.5,1.0,2.1,15.0,,braunch01
96,P.J. Washington,26,DAL,PF,50,49,32.5,5.3,11.9,.444,1.6,4.3,.377,3.7,7.6,.482,.512,2.6,3.5,.731,1.5,6.5,8.0,2.2,1.2,1.1,2.1,2.4,14.8,,washipj01
97,Kyle Kuzma,29,2TM,PF,53,50,29.8,5.7,13.3,.426,1.4,4.8,.286,4.3,8.5,.504,.477,2.0,3.2,.631,0.8,5.3,6.2,2.3,0.5,0.2,2.2,1.8,14.7,,kuzmaky01
97,Kyle Kuzma,29,WAS,PF,32,30,27.7,6.0,14.2,.420,1.4,5.0,.281,4.6,9.2,.495,.469,1.8,3.1,.602,0.8,4.9,5.8,2.5,0.6,0.2,2.3,1.6,15.2,,kuzmaky01
